date,erg_price,strategy,regime,sigmausd_ratio,erg_reserves,sigusd_reserves,total_usd,reserve_ratio,interventions,accum_path,window
2025-05-23,0.864264930514116,B_70_30,uip001,4.532928232148896,4619.816848494735,9145.148961577746,13137.89464912999,0.1313789464912999,0,none,hypothetical_full
2025-05-24,0.8044524101235394,B_70_30,uip001,4.229341527415484,4619.863046663219,9122.850424789141,12839.310387118046,0.12839310387118047,1,none,hypothetical_full
2025-05-25,0.7900085644471192,B_70_30,uip001,4.389639258707181,4619.909245293686,9122.850424789141,12772.61829553958,0.12772618295539578,0,none,hypothetical_full
2025-05-26,0.8410749122676474,B_70_30,uip001,4.389639258707181,4619.955444386139,9122.850424789141,13008.579044856653,0.13008579044856652,0,none,hypothetical_full
2025-05-27,0.8472218696460658,B_70_30,uip001,4.3687685270799825,4620.001643940583,9122.850424789141,13037.01685533638,0.1303701685533638,0,none,hypothetical_full
2025-05-28,0.8831108204314486,B_70_30,uip001,4.3687685270799825,4620.047843957022,9122.850424789141,13202.864666698573,0.13202864666698574,0,none,hypothetical_full
2025-05-29,0.8660199849307535,B_70_30,uip001,4.248987050173585,4620.094044435462,9122.850424789141,13123.944199529804,0.13123944199529805,0,none,hypothetical_full
2025-05-30,0.9037646709373616,B_70_30,uip001,4.388244420385007,4620.1402453759065,9122.850424789141,13298.369953335758,0.13298369953335756,0,none,hypothetical_full
2025-05-31,0.9898794917856012,B_70_30,uip001,4.665889433791164,4620.18644677836,9122.850424789141,13696.278236680828,0.13696278236680828,0,none,hypothetical_full
2025-06-01,0.9277775561191643,B_70_30,uip001,4.361845814967585,4620.232648642827,9097.1313930467,13383.679548506516,0.13383679548506516,1,none,hypothetical_full
2025-06-02,0.925021570335306,B_70_30,uip001,4.359553609782646,4620.278850969314,9097.1313930467,13370.988991157337,0.13370988991157337,0,none,hypothetical_full
2025-06-03,0.9157408258013768,B_70_30,uip001,4.316017726412496,4620.325053757823,9097.1313930467,13328.15167324568,0.1332815167324568,0,none,hypothetical_full
